类型,爬取日期,排名,书名,评论数,推荐数,作者,出版时间,出版社,折扣价,原价
近7日,2024/4/1,3,十八岁出门远行（余华成名作！一定要出去闯闯，哪怕鼻青脸肿！看,42,97.60%,余华,2024/3/1,江苏凤凰文艺出版社,￥29.20,￥45.00
近7日,2024/4/1,4,每一步都精进：你绕不开的66个职业发展关键难题,,0%,卢山,2024/3/15,上海科学技术出版社,￥49.00,￥68.00
近7日,2024/4/1,5,陪孩子轻松学好英语 young妈2024重磅新作 揭开从零基础到小托福近,14041,100%,young妈,2024/2/18,浙江教育出版社,￥39.80,￥59.80
近7日,2024/4/1,6,我们八月见（加西亚·马尔克斯逝世十周年，遗作小说全球同步首发,42,95.20%,加西亚·马尔克斯,2024/3/6,南海出版公司,￥24.80,￥39.00
近7日,2024/4/1,7,首先你要快乐，其次都是其次（快乐就是把一件小事做得热血沸腾，,,0%,林小仙,2024/2/1,中国妇女出版社,￥29.50,￥59.00
近7日,2024/4/1,8,天堂没有入殓师：一位东北殡仪馆女入殓师的工作手记（16岁入行，,1,100%,孙留仙,2024/1/1,广东人民出版社,￥35.80,￥52.00
近7日,2024/4/1,9,许三观卖血记（余华温情幽默之作！一本写尽中国人“三观”的小说,3,100%,余华,2024/3/1,北京十月文艺出版社,￥40.70,￥59.00
近7日,2024/4/1,10,少年诗词游(15册，绘本+读本+音频）经典少年游诗词曲系列，叶嘉莹,1627,100%,唐香燕,2024/2/1,北京日报出版社,￥199.50,￥399.00
近7日,2024/4/1,11,正念的奇迹：获得身心的安详和悦乐,1,100%,一行禅师,2024/1/1,河南文艺出版社,￥32.00,￥58.00
近7日,2024/4/1,12,青蛙和蟾蜍（拼音版）（7-12岁） 信谊世界精选图画书 （帮助孩子,10,100%,作绘者,2023/12/1,明天出版社,￥39.90,￥79.80
近7日,2024/4/1,13,阳谋：越是正大光明，越是所向披靡 看帝王将相之谋略 懂安身立命,4,100%,秦尘,2024/2/1,光明日报出版社,￥39.80,￥58.00
近7日,2024/4/1,14,30天成为高手父母,,0%,沛东,2024/2/1,台海出版社,￥29.80,￥59.80
近7日,2024/4/1,15,精神病预后档案：从遗弃中诞生（当当亲签版，“世界是一个巨大的,4,100%,穆戈,2024/4/1,湖南文艺出版社,￥31.10,￥52.80
近7日,2024/4/1,16,意林合订本2024年1期-6期（总第80卷）（升级版）,,0%,意林,2024/3/1,意林杂志出版社,￥21.60,￥45.00
近7日,2024/4/1,17,风来自你的方向（限量封口贴+精美明信片+定制贴纸）隔花人&大绵羊,3,100%,隔花人,2024/1/1,浙江人民出版社,￥39.90,￥55.00
近7日,2024/4/1,18,教育无痕：掌握家庭教育核心法则，与孩子共同成长,2,100%,王琳,2024/3/1,中国铁道出版社,￥38.00,￥69.00
近7日,2024/4/1,19,假面游戏（东野圭吾2024重磅新作！你有没有天天窥探一个人的生活,22,100%,东野圭吾,2024/2/1,南海出版公司,￥26.60,￥59.00
近7日,2024/4/1,20,男孩你该如何保护自己父母给青春期儿子男孩教育书籍10-16岁叛逆期,6,100%,青蓝图书,2023/12/1,民主与建设出版社,￥19.20,￥39.80
近30日,2024/4/1,1,十八岁出门远行（余华成名作！一定要出去闯闯，哪怕鼻青脸肿！看,42,97.60%,余华,2024/3/1,江苏凤凰文艺出版社,￥29.20,￥45.00
